scenario	network	path_profile	metric	binary_a	binary_b	a_p50	b_p50	a_vs_b_median_ratio	a_vs_b_ci95_low	a_vs_b_ci95_high	relation
connect	iouring	loopback	connections_per_second	lsperf	s2nperf	8885.626414	5827.752360	1.524709	1.513713	1.536845	win
connect	iouring	loopback	connections_per_second	lsperf	tquicperf	8885.626414	6905.008431	1.286838	1.283500	1.295045	win
connect	iouring	loopback	connections_per_second	lsperf	xquicperf	8885.626414	8548.171310	1.039477	1.021310	1.051544	win
connect	iouring	loopback	connections_per_second	mvfstperf	neqoperf	996.768018	836.283367	1.191902	1.155282	1.219741	win
connect	iouring	loopback	connections_per_second	mvfstperf	ngtcp2perf	996.768018	9729.563602	0.102447	0.098329	0.103820	loss
connect	iouring	loopback	connections_per_second	mvfstperf	noqperf	996.768018	6375.846019	0.156335	0.151532	0.158877	loss
connect	iouring	loopback	connections_per_second	mvfstperf	picoperf	996.768018	4276.360258	0.233088	0.225792	0.235174	loss
connect	iouring	loopback	connections_per_second	mvfstperf	quicheperf	996.768018	5748.916100	0.173384	0.165265	0.179968	loss
connect	iouring	loopback	connections_per_second	mvfstperf	quiczigperf	996.768018	3828.718324	0.260340	0.250967	0.265443	loss
connect	iouring	loopback	connections_per_second	mvfstperf	quinnperf	996.768018	6976.328106	0.142879	0.137249	0.147340	loss
connect	iouring	loopback	connections_per_second	mvfstperf	s2nperf	996.768018	5827.752360	0.171038	0.164588	0.172840	loss
connect	iouring	loopback	connections_per_second	mvfstperf	tquicperf	996.768018	6905.008431	0.144354	0.139556	0.145646	loss
connect	iouring	loopback	connections_per_second	mvfstperf	xquicperf	996.768018	8548.171310	0.116606	0.111048	0.118261	loss
connect	iouring	loopback	connections_per_second	neqoperf	ngtcp2perf	836.283367	9729.563602	0.085953	0.083914	0.086332	loss
connect	iouring	loopback	connections_per_second	neqoperf	noqperf	836.283367	6375.846019	0.131164	0.129318	0.132114	loss
connect	iouring	loopback	connections_per_second	neqoperf	picoperf	836.283367	4276.360258	0.195560	0.192692	0.195560	loss
connect	iouring	loopback	connections_per_second	neqoperf	quicheperf	836.283367	5748.916100	0.145468	0.141038	0.149652	loss
connect	iouring	loopback	connections_per_second	neqoperf	quiczigperf	836.283367	3828.718324	0.218424	0.214176	0.220729	loss
connect	iouring	loopback	connections_per_second	neqoperf	quinnperf	836.283367	6976.328106	0.119874	0.117129	0.122521	loss
connect	iouring	loopback	connections_per_second	neqoperf	s2nperf	836.283367	5827.752360	0.143500	0.140460	0.143726	loss
connect	iouring	loopback	connections_per_second	neqoperf	tquicperf	836.283367	6905.008431	0.121113	0.119098	0.121113	loss
connect	iouring	loopback	connections_per_second	neqoperf	xquicperf	836.283367	8548.171310	0.097832	0.094769	0.098340	loss
connect	iouring	loopback	connections_per_second	ngtcp2perf	noqperf	9729.563602	6375.846019	1.526004	1.519302	1.552233	win
connect	iouring	loopback	connections_per_second	ngtcp2perf	picoperf	9729.563602	4276.360258	2.275197	2.263860	2.297666	win
connect	iouring	loopback	connections_per_second	ngtcp2perf	quicheperf	9729.563602	5748.916100	1.692417	1.656998	1.758293	win
connect	iouring	loopback	connections_per_second	ngtcp2perf	quiczigperf	9729.563602	3828.718324	2.541206	2.516270	2.593391	win
connect	iouring	loopback	connections_per_second	ngtcp2perf	quinnperf	9729.563602	6976.328106	1.394654	1.376098	1.439517	win
connect	iouring	loopback	connections_per_second	ngtcp2perf	s2nperf	9729.563602	5827.752360	1.669522	1.650204	1.688661	win
connect	iouring	loopback	connections_per_second	ngtcp2perf	tquicperf	9729.563602	6905.008431	1.409059	1.399233	1.422974	win
connect	iouring	loopback	connections_per_second	ngtcp2perf	xquicperf	9729.563602	8548.171310	1.138204	1.113401	1.155420	win
connect	iouring	loopback	connections_per_second	noqperf	picoperf	6375.846019	4276.360258	1.490952	1.479353	1.490952	win
connect	iouring	loopback	connections_per_second	noqperf	quicheperf	6375.846019	5748.916100	1.109052	1.082790	1.140953	win
connect	iouring	loopback	connections_per_second	noqperf	quiczigperf	6375.846019	3828.718324	1.665269	1.644294	1.682847	win
connect	iouring	loopback	connections_per_second	noqperf	quinnperf	6375.846019	6976.328106	0.913926	0.899232	0.934100	loss
connect	iouring	loopback	connections_per_second	noqperf	s2nperf	6375.846019	5827.752360	1.094049	1.078350	1.095769	win
connect	iouring	loopback	connections_per_second	noqperf	tquicperf	6375.846019	6905.008431	0.923365	0.914349	0.923365	loss
connect	iouring	loopback	connections_per_second	noqperf	xquicperf	6375.846019	8548.171310	0.745873	0.727568	0.749750	loss
connect	iouring	loopback	connections_per_second	picoperf	quicheperf	4276.360258	5748.916100	0.743855	0.731500	0.765707	loss
connect	iouring	loopback	connections_per_second	picoperf	quiczigperf	4276.360258	3828.718324	1.116917	1.110835	1.129378	win
connect	iouring	loopback	connections_per_second	picoperf	quinnperf	4276.360258	6976.328106	0.612982	0.607493	0.626885	loss
connect	iouring	loopback	connections_per_second	picoperf	s2nperf	4276.360258	5827.752360	0.733792	0.728500	0.735383	loss
connect	iouring	loopback	connections_per_second	picoperf	tquicperf	4276.360258	6905.008431	0.619313	0.617706	0.619681	loss
connect	iouring	loopback	connections_per_second	picoperf	xquicperf	4276.360258	8548.171310	0.500266	0.491523	0.503166	loss
connect	iouring	loopback	connections_per_second	quicheperf	quiczigperf	5748.916100	3828.718324	1.501525	1.451594	1.543003	win
connect	iouring	loopback	connections_per_second	quicheperf	quinnperf	5748.916100	6976.328106	0.824060	0.793848	0.856477	loss
connect	iouring	loopback	connections_per_second	quicheperf	s2nperf	5748.916100	5827.752360	0.986472	0.951975	1.004711	statistical_tie
connect	iouring	loopback	connections_per_second	quicheperf	tquicperf	5748.916100	6905.008431	0.832572	0.807194	0.846634	loss
connect	iouring	loopback	connections_per_second	quicheperf	xquicperf	5748.916100	8548.171310	0.672532	0.642302	0.687446	loss
connect	iouring	loopback	connections_per_second	quiczigperf	quinnperf	3828.718324	6976.328106	0.548816	0.538221	0.564002	loss
connect	iouring	loopback	connections_per_second	quiczigperf	s2nperf	3828.718324	5827.752360	0.656980	0.645429	0.661616	loss
connect	iouring	loopback	connections_per_second	quiczigperf	tquicperf	3828.718324	6905.008431	0.554484	0.547269	0.557520	loss
connect	iouring	loopback	connections_per_second	quiczigperf	xquicperf	3828.718324	8548.171310	0.447899	0.435474	0.452693	loss
connect	iouring	loopback	connections_per_second	quinnperf	s2nperf	6976.328106	5827.752360	1.197087	1.162786	1.209801	win
connect	iouring	loopback	connections_per_second	quinnperf	tquicperf	6976.328106	6905.008431	1.010329	0.985944	1.019456	statistical_tie
connect	iouring	loopback	connections_per_second	quinnperf	xquicperf	6976.328106	8548.171310	0.816119	0.784538	0.827773	loss
connect	iouring	loopback	connections_per_second	s2nperf	tquicperf	5827.752360	6905.008431	0.843989	0.840479	0.850120	loss
connect	iouring	loopback	connections_per_second	s2nperf	xquicperf	5827.752360	8548.171310	0.681754	0.668788	0.690276	loss
connect	iouring	loopback	connections_per_second	tquicperf	xquicperf	6905.008431	8548.171310	0.807776	0.793659	0.814087	loss
connect	syscall	loopback	connections_per_second	lsperf	mvfstperf	3752.906776	953.178972	3.937253	3.617972	4.222805	win
connect	syscall	loopback	connections_per_second	lsperf	neqoperf	3752.906776	906.732104	4.138937	3.377809	4.370614	win
connect	syscall	loopback	connections_per_second	lsperf	ngtcp2perf	3752.906776	2552.327133	1.470386	1.351364	1.549110	win
connect	syscall	loopback	connections_per_second	lsperf	noqperf	3752.906776	3215.708641	1.167054	1.077090	1.230649	win
connect	syscall	loopback	connections_per_second	lsperf	picoperf	3752.906776	2179.625804	1.721812	1.527940	1.902009	win
connect	syscall	loopback	connections_per_second	lsperf	quicheperf	3752.906776	1963.133517	1.911692	1.758040	2.038969	win
connect	syscall	loopback	connections_per_second	lsperf	quiczigperf	3752.906776	2350.871212	1.596390	1.472121	1.697156	win
connect	syscall	loopback	connections_per_second	lsperf	quinnperf	3752.906776	3013.780266	1.245249	1.146266	1.336586	win
connect	syscall	loopback	connections_per_second	lsperf	s2nperf	3752.906776	2704.932934	1.387431	1.278348	1.463006	win
connect	syscall	loopback	connections_per_second	lsperf	tquicperf	3752.906776	3035.458334	1.236356	1.140078	1.299810	win
connect	syscall	loopback	connections_per_second	lsperf	xquicperf	3752.906776	3638.792338	1.031361	0.923665	1.094116	statistical_tie
connect	syscall	loopback	connections_per_second	mvfstperf	neqoperf	953.178972	906.732104	1.051224	0.911191	1.060478	statistical_tie
connect	syscall	loopback	connections_per_second	mvfstperf	ngtcp2perf	953.178972	2552.327133	0.373455	0.364541	0.375873	loss
connect	syscall	loopback	connections_per_second	mvfstperf	noqperf	953.178972	3215.708641	0.296413	0.290554	0.298602	loss
connect	syscall	loopback	connections_per_second	mvfstperf	picoperf	953.178972	2179.625804	0.437313	0.412174	0.461500	loss
connect	syscall	loopback	connections_per_second	mvfstperf	quicheperf	953.178972	1963.133517	0.485540	0.474246	0.494732	loss
connect	syscall	loopback	connections_per_second	mvfstperf	quiczigperf	953.178972	2350.871212	0.405458	0.397116	0.411795	loss
connect	syscall	loopback	connections_per_second	mvfstperf	quinnperf	953.178972	3013.780266	0.316274	0.309215	0.324307	loss
connect	syscall	loopback	connections_per_second	mvfstperf	s2nperf	953.178972	2704.932934	0.352385	0.344845	0.354981	loss
connect	syscall	loopback	connections_per_second	mvfstperf	tquicperf	953.178972	3035.458334	0.314015	0.307545	0.315384	loss
