estimand	server	server_backend	scenario	path_profile	phase	load	metric	planned	committed	valid	geometric_mean	status	quality_labels
fixed_treatment_server	s2nperf	iouring	upload	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	538023719.29455113	complete	
fixed_treatment_server	s2nperf	iouring	zero_rtt_reqresp	loopback	confirmatory	16	validated_operations_per_second	24	24	24	1486.7960247528858	complete	
fixed_treatment_server	tquicperf	iouring	bidi	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	508115920.22831428	complete	
fixed_treatment_server	tquicperf	iouring	close_reset_cleanup	loopback	confirmatory	16	cleanup_geometric_mean_operations_per_second	24	24	24	1266.0762596535835	complete	
fixed_treatment_server	tquicperf	iouring	connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	2849.712420522384	complete	
fixed_treatment_server	tquicperf	iouring	datagram	loopback	confirmatory	16	validated_operations_per_second	24	24	24	49283.833125312674	complete	
fixed_treatment_server	tquicperf	iouring	download	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	886765408.38542044	complete	
fixed_treatment_server	tquicperf	iouring	flow_control	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	527781091.48746353	complete	
fixed_treatment_server	tquicperf	iouring	loss_recovery	loss_recovery_v1	confirmatory	16	validated_body_bits_per_second	24	24	24	110855082.29363254	complete	
fixed_treatment_server	tquicperf	iouring	multistream_download	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	672280766.2539469	complete	
fixed_treatment_server	tquicperf	iouring	multistream_upload	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	312669722.97207552	complete	
fixed_treatment_server	tquicperf	iouring	reqresp	loopback	confirmatory	16	validated_operations_per_second	24	24	24	20463.213120986529	complete	
fixed_treatment_server	tquicperf	iouring	resumed_connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	2847.4901559055593	complete	
fixed_treatment_server	tquicperf	iouring	small_payload_pps	loopback	confirmatory	16	validated_operations_per_second	24	24	24	71809.107130519435	complete	
fixed_treatment_server	tquicperf	iouring	stream_churn	loopback	confirmatory	16	validated_operations_per_second	24	24	24	20841.548774366674	complete	
fixed_treatment_server	tquicperf	iouring	upload	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	445417212.19156885	complete	
fixed_treatment_server	tquicperf	iouring	zero_rtt_reqresp	loopback	confirmatory	16	validated_operations_per_second	24	24	24	1643.8078573272733	complete	
fixed_treatment_server	xquicperf	iouring	bidi	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	345446853.55675071	complete	
fixed_treatment_server	xquicperf	iouring	close_reset_cleanup	loopback	confirmatory	16	cleanup_geometric_mean_operations_per_second	24	24	24	176.05841714183975	complete	
fixed_treatment_server	xquicperf	iouring	connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	285.6557603807052	complete	
